http://movie.douban.com/subject/2138507/	奋斗
(4星)	 对80后这个团体意识形态的一次意淫            
(4星)	 夏琳！            
(2星)	 折腾，这帮人就会折腾            
(4星)	 大二。其实他们的生活离我们得仍是很远……            
(2星)	 你咋不去吃屎呢            
(4星)	 每次都看一点            
(3星)	 我真的觉得还行吧            
(NA)	 国产电视剧 青春 大陆             
(3星)	 有值得玩味的地方，也有很装的地方。            
(4星)	 喜欢徐志森            
(3星)	 越来越不喜欢佟大为和马伊琍            
(4星)	 大家都喜欢米莱讨厌夏琳。我喜欢杨晓芸，因为她真实，尖锐，刀子嘴豆腐心，谁理解？            
(3星)	 青春偶像剧~            
(3星)	 +            
(4星)	 看着一帮人花钱真奋斗……            
(4星)	 人各不同，自我追求也不同，所以自我实现的路也不同。相同的是，我们都走在追求美好生活的路上。            
(4星)	 只因幽默的话语            
(3星)	 矫情、做作、太乌托邦，但还是在某个暑假抱着电视看了不知多少遍。★★★            
(NA)	 闹剧，抑或真实。            
(3星)	 都说是80后的标志片，其实还是很70后的            
(3星)	 我真觉得挺一般            
(4星)	 近年来为数不多看了几遍的剧。            
(3星)	 有时候，石康真矫情            
(5星)	 特别喜欢            
(5星)	 我发现了 夏琳            
(3星)	 一部在电视上还没有上映,用手机看完的电视剧~            
(3星)	 普通话的魅力            
(5星)	 多亏了它，我才能考过普通话            
(4星)	 最后太扯了，我想揍这一帮子人            
(NA)	 我觉得挺能反映事实的            
(NA)	 现实，无奈。            
(5星)	 很喜欢~~i like!!~~            
(3星)	 不知道为什么红成这样            
(5星)	 那些斗贫就值了5颗星            
(NA)	 看了两遍            
(4星)	 其实北京青年更作...&gt; &lt;            
(2星)	 奋斗的前提是一定要有好家世，不然就只能开个小破奥拓住在五环外……除了里面的伪loli灵珊外，都不喜欢，因为她还有点loli嘛~其他统统不喜欢，这还真是一个仗贱走天涯的时代。只一点——瘦才是王道啊！            
(3星)	 陪俺娘看的……不喜欢里面的演员呢，尤其是马伊琍……            
(5星)	 普及            
(4星)	 都说书比电视剧强，这是不是大家的惯性？几乎没有听人说过有哪部电影拍的比原著强的。我却想说，这部电视剧拍的就是比书好，首先，演员就选的不错，和想象中差不多。其次，书里的很多bug，电视剧里面省略了，没拍。            
(4星)	 玩儿勺子把儿去!!            
(NA)	 哭过,笑过,因为它爱过!            
(1星)	 It just makes me headache on and on.            
(NA)	 宅在家 看奋斗 喜欢的佟大为            
(4星)	 前15集左右             
(4星)	 营造            
(2星)	 装逼+傻逼            
(3星)	 不喜欢            
(4星)	 婚姻是儿戏么？！            
(3星)	 哦！80后的生活过得还挺滋润的。            
(4星)	 我喜欢的是：向南 杨晓芸 米莱 还有小灵仙            
(5星)	 啊吖~这几个人...真是...太可爱了            
(5星)	 还成            
(2星)	 看后便觉得无趣，这个故事告诉我们城里有钱人才能奋斗。。            
(1星)	 扯你丫的淡吧！网友很强大----《天降强爹的幸福生活》！哈哈            
(NA)	 我也喜欢米莱。            
(1星)	 有史以来少有的傻逼题材电视剧            
(4星)	 大陆为数不多的，吸引年轻人的电视剧！很励志很感动！            
(3星)	 对真实的我们不现实~            
(4星)	 有些真有些假，还算发人深省啦。。            
(3星)	 不现实的故事，虽然我很喜欢里面一对一对恋爱时的状态，但哪有那么多的天雷勾地火哦....            
(5星)	 寝室的同学 看了不下10遍。每天睡觉前 必须温习一下。搞的 大家骂声一片。最后 放假的时候 在电视上看见 播《奋斗》又怀念起一起生活的时候。这个很重要。还就是 喜欢 徐志森 的说有台词，怎么感觉 他说的话 就那么想真理。            
(4星)	 不觉得哪励志，只是喜欢米莱，这种现实中只能虚拟的角色。            
(5星)	 因为毛毛喜欢看了            
(5星)	 又一部还珠格格呀            
(4星)	 我不要做米莱~~            
(NA)	 扯!!            
(1星)	 为这部剧打个分，表明立场！            
(1星)	 恶心。。。            
(2星)	 不切实际            
(5星)	 作为最早看的一拨，当时就觉《奋斗》是中国现阶段电视剧一阵清新的空气。讲的是时下大学生毕业后的故事，很都市，很浪漫又很写实，实属佳作            
(4星)	 很爱的剧            
(3星)	 我喜欢向南            
(4星)	 还是得找陆涛这样的男人~~讨厌夏琳！            
(4星)	 先看片子，后才知道是CT出的。喜欢对白，觉得北京人的幽默素质很高            
(NA)	 这不是我们的生活。。跟我的不一样 他们要幸福的多            
(3星)	 奋斗就是米莱的奋斗            
(3星)	 有的台词很好......            
(NA)	 现实的可爱            
(2星)	 发自内心地觉得你假            
(4星)	 年轻必须要奋斗            
(2星)	 最讨厌的演员都混在一部戏里了。非常好。就是看不惯。            
(4星)	 现实不现实，都会有你的影子~~            
(4星)	 京味十足，我喜欢听，够贫            
(5星)	 看过不下3遍            
(5星)	 看着好玩儿             
(NA)	 看了好多遍  还是感人  因为那会我也刚毕业            
(3星)	 你们是注定的 只是我让它来得更快了些            
(5星)	 值得思考！            
(3星)	 用年轻的心态来说明家庭的位置            
(5星)	 大1的回忆            
(NA)	 我只能说这是一部青春剧了，真没看出来他们奋斗什么了，一般，很一般。哦不对，人家到了想有钱就有钱想有房子就有房子的份儿上还在拿奋斗说事儿，这种不安于现状的精神值得我们学习和借鉴。            
(4星)	 第四星是为台词加的。            
(5星)	 一部生动深刻的都市剧，让人忍不住就这样看下去，又忍不住时时想起。推荐。            
(4星)	 好几个同学都把台词奉为经典            
(4星)	 喜欢华子，向南那种性格！            
(4星)	 国内拍的算是不错的剧            
(5星)	 经典台词，我喜欢向南和杨晓芸吵架的情节。            
(4星)	 好歹台词好，好歹除了夏琳、还有那个农村来的女的以外其他演员演得好，好歹都没讲什么痛苦挣扎在贫困线以下的现实问题，我们还是喜欢看海市蜃楼滴啊            
(5星)	 跟兔子一起看的            
(4星)	 第四颗星完全是给李小璐、文章和王络丹的。            
(3星)	 零散，我是说我看得比较零散。多少觉得80后没有混得那么好。            
(1星)	 第一集 就在扯淡 还怎么看？            
(5星)	 喜欢里面的贫嘴。。。。。。            
(NA)	 王洛丹哈！！            
(4星)	 无论怎样，他还是成功的塑造了一些贴近我们生活的造型值得一看，至于看完的感受是你自己的事            
(4星)	 至少让我保持很北的样子我爱杨晓云和向南            
(3星)	 就一般吧，喜欢米莱~            
(5星)	 力荐！            
(3星)	 假.            
(4星)	 画面和色彩都不错，就是情节太不靠谱了~最喜欢杨晓芸，最讨厌某瑶！！            
(1星)	 大垃圾            
(1星)	 煞笔            
(3星)	 50后导演 60后编剧 70后演员 拍给80后看的电视剧。07年火了一年，个人觉得电视剧没小说好看，而且石康的小说都是如此京韵十足，不至于那么崇拜此剧吧。此片让我喜欢上演华子的仗义，讨厌佟大为把陆涛演成了花花公子。。。            
(5星)	 国内青春偶像剧已经不错了            
(5星)	 男生说不喜欢看这种偶像剧，我说，把它当励志片看就好了，虽然有点假            
(4星)	 口才很遛            
(1星)	 很讨厌这部影片。            
(4星)	 钱，是哪来的？            
(4星)	 很励志，很Young,很八零后！            
(NA)	 呵呵，这世界有很多美好的地方，值得我们为之奋斗，我只相信后半句。            
(4星)	 奮鬥究竟是一個過程還是一個結果。            
(NA)	 讨厌陆涛讨厌夏林            
(5星)	 除了剧情太离谱之外，角色和台词都忒个性了~统统喜欢~超欣赏夏琳，但自己却有灵珊和米莱的影子~            
(1星)	 好吧，我是看过            
(4星)	 怎么那么贫啊...            
(NA)	 奋斗告诉我住loft很爽，让我喜欢上了米莱并讨厌上了陆涛和夏琳，同时对京片子产生了浓厚的兴趣，但是却没有真正告诉我如果我大学毕业了，我应该如何奋斗。。。。。            
(1星)	 垃圾            
(4星)	 还可以            
(4星)	 喜欢米莱            
(NA)	 soso            
(NA)	 不管别人咋说，我觉得不错            
(4星)	 贫。 真好            
(3星)	 很一般 为啥奋斗 爱情?            
(4星)	 还好            
(3星)	 看后，我就开始堕落了。            
(5星)	 奋斗             
(NA)	 太好看了花通宵看完的            
(3星)	 时尚喜剧            
(2星)	 逗是逗，就是没看见几个奋斗的人……            
(3星)	 奋斗都是扯淡，主要还是看那几个男男女女的情感纠葛和很贫的京片子。            
