http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(4星)	 他在爱人家门口 慢慢吸完一支烟 插一支玫瑰 离去 为什么 你总是看不到我呢            
(5星)	 最喜欢的一部. 爱情很安心.            
(3星)	 那时候真相冲过去扇徐迎美！            
(4星)	 看到的第一部韩剧。那时的张东健好帅哒            
(4星)	 张东健先生~~~~~~            
(5星)	 当年的经典……看得我和妈妈两人都在哭            
(4星)	 看的时候极度讨厌善美喜欢迎美            
(3星)	 好吧。我喜欢金素妍。            
(3星)	 1）韩剧的节奏果然不适合我；2）时间不对，地点不对，人物不对，额冇共鸣~~~            
(4星)	 我最爱的棒子剧~我好喜欢看呢。。。            
(5星)	 最爱的王子与灰姑娘~            
(5星)	 从这里喜欢蔡林和张东键            
(5星)	 电视台放一遍看一遍            
(5星)	 这部电视剧我看了N遍了，还是超级喜欢！剧中善美和享哲的爱情，是所有渴望爱情的女孩的梦吧？？？            
(5星)	 金素妍在里面真是“让人又爱又恨”的典范，她太漂亮了，我超喜欢。            
(5星)	 百看不厌            
(5星)	 看的第一部韩剧  小学看的  影像很深    当时还想要留真善美的发型呢            
(4星)	 這個真的是青春的回憶 人生第一部韓劇(?)            
(5星)	 那个寒流的时代            
(5星)	 绝对经典。            
(4星)	 喜欢啊喜欢            
(5星)	 什么时候能给我一个享哲……这是我当年的愿望。这部剧我竟然看过六七遍，现在想来真是疯狂。当年深深地爱上它，爱上剧里每一个人，沉在里面自我逃避。我对它感情之深，可以想象。            
(5星)	 我是抱着“成为甄善美，遇到尹享哲”的梦想长大的。。。            
(5星)	 The top of Korean Series. I think.            
(4星)	 喜欢迎美            
(5星)	 天呐，尹响哲！            
(5星)	 我还是比较喜欢男二号啊。            
(5星)	 大多数人应该都看过吧            
(5星)	 我因为该剧 喜欢上了张东健和蔡琳            
(NA)	 经典～～            
(4星)	 这部还蛮好看的            
(4星)	 金素妍 经典的韩剧坏女人            
(4星)	 喜欢坏心女主~~~这句话很深刻，上帝，如果你不帮助我，那也不要阻碍我~~~强势啊~~~            
(4星)	 N久以前看的 历史的回忆……            
(NA)	 至今的最爱            
(NA)	 这个看过的好早了啊            
(5星)	 有爱的主题歌~            
(4星)	 那会儿挺迷张东健的啊，五六年前了吧            
(4星)	 还不错的韩剧，难得            
(NA)	 第一部韩剧的说 纪念一下            
(4星)	 张东健是真帅，蔡琳虽然不漂亮但是笑起来好可爱的说，再看她后来整容后的样子好假啊...            
(5星)	 经典啊。。。            
(5星)	 享哲学长说 我一直都会在这里等你享哲学长说 你不要管别的只要直接朝我走过来就可以张东健 真是爱死你了            
(4星)	 小时候的感受了            
(4星)	 我的启蒙韩剧啊..........            
(2星)	 我真不能理解竟然有人喜欢看韩剧。。            
(5星)	 徐迎美啊 嘖嘖            
(NA)	 其实我比较喜欢迎美，所谓的坏女人。金素妍很美。            
(5星)	 喜欢金素妍这种冷艳型滴！她那脚踝的性感纹身一直在我心里投下了影子~            
(5星)	 这是我心中の最爱。唯一一部看了八遍还在继续看的电视剧。            
(3星)	 跟我妈一起看完的---            
(3星)	 张东健时代~            
(4星)	 尹享哲真是那段时间心中的白马王子，搞得我还误以为自己已经喜欢上张东健了，后来才发现喜欢的不过是这个角色而已。。。虽然当时看得时候觉得金素妍恨得人牙痒痒，后来在一些娱乐节目中看到，才发现真的美得不可方物，这种超级恶毒的角色，估计也只有如此这般的美女才能演出其神采。            
(4星)	 韩同学在这里的结局又是凄凄惨惨            
(5星)	 很爱很爱 超爱超爱 爱善美 爱享哲 甚至最后也开始爱迎美 至今想起依然感动的片子            
(4星)	 相对于蔡琳的甄善美（这名字是在是太RP了……音译地集所有美好于一身……），金素妍的徐迎美更真实，坏得令人怜惜　　            
(5星)	 当初还在看韩片的时候看的，还算不错。            
(4星)	 我还记得以前好喜欢蔡琳的~~但是之后被苏有朋联袂主演的几个电视剧给无情的抹杀掉了~！！            
(5星)	 最爱最爱最爱            
(5星)	 吼吼～最爱！            
(3星)	 看的第一部韩剧（多年以来一直以为是日剧，才发现不是）这么完美的男女只能供青春期无聊的人狂喜而已，后来的韩剧越来越冗长拖沓越来越杂乱无常。            
(4星)	 也是经典，主题曲大爱            
(NA)	 给张东健配音的那个声音很雷人。            
(4星)	 好怀念。            
(5星)	 韩剧里我觉得最艳羡的男主角            
(4星)	 我第一部看的韩剧~当时真是完全被张东健迷倒了~            
(5星)	 很久的记忆            
(5星)	 善美永远站在佑振哥的背后向前看齐，佑振哥永远站在迎美德背后向前看其……遇见喜欢的人 眼里就容不下别的人了            
(5星)	 小时候很喜欢很喜欢,那个可爱的小姑娘~~~            
(5星)	 韩剧启蒙之一。            
(5星)	 超好看！            
(5星)	 它就代表着我逝去的青春            
(4星)	 经典 好看            
(4星)	 看的第一部韩剧。五年级暑假凤凰卫视。            
(4星)	 有点老的片子，不过还是满好看的            
(5星)	 看的第一步韩剧  很喜欢里面的坏女人印象深刻            
(4星)	 哎,学长......            
(NA)	 整容要适度            
(NA)	 因为这部剧爱上两个人              
(5星)	 喜欢里面的蔡琳和张东健～～            
(5星)	 喜欢张东健在本电视的表现            
(5星)	 有没有那么完美的男人啊。。。            
(NA)	 可是全家老小一起守着看的一部哟，还有一部是看了又看哈哈            
(4星)	 哇尹理事..善美..&gt;&lt;            
(4星)	 那女人倔强得叫人心疼            
(NA)	 喜欢女二            
(5星)	 我的青春期教育片            
(5星)	 虽然挺早的片子，不过算是有深度的韩剧了            
(3星)	 真善美，这名字也太明显了            
(5星)	 学长是神            
(5星)	 最爱你们 也最爱你们的爱情            
(5星)	 想当年的最爱            
(5星)	 经典中的经典！            
(5星)	 很经典的一部韩剧了！想当年很迷恋还有着baby face的张东健！            
(4星)	 曾經的記憶            
(4星)	 经典韩剧~关键吧~编剧好~演员演技也很好~比现在的好看多了~            
(4星)	 爱上女主播            
(4星)	 好久以前的回忆，恩，当时很迷张东健            
(3星)	 完美的男友。            
(5星)	 可能少看了一两集。            
(4星)	 恩，里面的人都还蛮喜欢！~            
(5星)	 爱金素妍，真出彩！            
(5星)	 迎美!!!!!!!!!!!            
(5星)	 傻子般一遍遍的翻看~最爱的韩剧~            
(NA)	 也很好看~            
(4星)	 我看过的为数不多的韩剧之一，个人觉得比现在拍的那些好看...            
(5星)	 爱一个人用一辈子的时间都是不够的            
(4星)	 哇哇哇哇哇~~~经典好不好？？？            
(4星)	 看过的第一部韩剧...前面的天桥风云什么的都嫌服装太丑没看            
(4星)	 看韩剧的开始            
(5星)	 我最早看的 因为是最喜欢的韩剧 善恶分明 剧情恶俗 但就是喜欢            
(4星)	 金素妍！！            
(NA)	 励志，青春，爱情，美女            
(5星)	 最后一点好看。            
(NA)	 因为姐姐太喜欢，我反倒没有了兴趣。            
(NA)	 我很喜歡的一部韓國片            
(5星)	 我喜欢张东健。。。            
(4星)	 曾因一个情节蹲在地上哭过 顶着红肿的眼睛去上下午的课            
(4星)	 恶心韩剧，除了这部。            
(3星)	 这还是高中时的剧吧，只记得张东健很帅金素妍很坏。            
(4星)	 就记得初一看这个有次数学考了64分被批了= =            
(5星)	 前两天熬夜又看了一遍，感动得好像自己谈恋爱一样。好喜欢他们在伦敦时的感觉。也喜欢看学长在天台上说出喜欢善美时的样子~我心里都好幸福。还有youku上花痴少女们的评论也真是太有意思了~            
(5星)	 后来发现 女人真的这两种最典型！            
(3星)	 经典韩剧            
(4星)	 他们也曾青春过啊            
(4星)	 当年挺经典的韩剧，后来就是浪漫满屋            
(5星)	 原来一开始就已注定了。            
(4星)	 金素妍演的徐迎美让我第一次了解:人心可以如此恶毒！            
(4星)	 讨厌张东健....可怜的宰硕.....            
(4星)	 小时候看的，真善美哈哈            
(3星)	 高中的记忆 蔡琳好可爱啊            
(4星)	 喜欢金素妍~            
(4星)	 家里还有一张电影原声碟            
(5星)	 Ｊ典啊            
(4星)	 完美情人            
(5星)	 百看不厌，仅此一部，韩剧            
(4星)	 我超爱金素妍的            
(5星)	 超级喜欢。。。            
(4星)	 喜欢那个美丽坏女人            
(5星)	 好看好看……这里面的蔡琳是大爱……连歌都很好听            
(NA)	 觉得像            
(5星)	 经典            
(5星)	  我的初中记忆。不可分割。            
(5星)	 想当年很萌韩宰硕和金素妍            
